 i1:1 i2:258 i3:260 i4:517 newVal:20->at:259 iters:1:1
 i1:2 i2:259 i3:261 i4:518 newVal:20->at:260 iters:1:2
 i1:3 i2:260 i3:262 i4:519 newVal:20->at:261 iters:1:3
 i1:4 i2:261 i3:263 i4:520 newVal:20->at:262 iters:1:4
 i1:5 i2:262 i3:264 i4:521 newVal:20->at:263 iters:1:5
 i1:6 i2:263 i3:265 i4:522 newVal:20->at:264 iters:1:6
 i1:7 i2:264 i3:266 i4:523 newVal:20->at:265 iters:1:7
 i1:8 i2:265 i3:267 i4:524 newVal:20->at:266 iters:1:8
 i1:9 i2:266 i3:268 i4:525 newVal:20->at:267 iters:1:9
 i1:10 i2:267 i3:269 i4:526 newVal:20->at:268 iters:1:10
 i1:11 i2:268 i3:270 i4:527 newVal:20->at:269 iters:1:11
 i1:12 i2:269 i3:271 i4:528 newVal:20->at:270 iters:1:12
 i1:13 i2:270 i3:272 i4:529 newVal:20->at:271 iters:1:13
 i1:14 i2:271 i3:273 i4:530 newVal:20->at:272 iters:1:14
 i1:15 i2:272 i3:274 i4:531 newVal:20->at:273 iters:1:15
 i1:16 i2:273 i3:275 i4:532 newVal:20->at:274 iters:1:16
 i1:17 i2:274 i3:276 i4:533 newVal:20->at:275 iters:1:17
 i1:18 i2:275 i3:277 i4:534 newVal:20->at:276 iters:1:18
 i1:19 i2:276 i3:278 i4:535 newVal:20->at:277 iters:1:19
 i1:20 i2:277 i3:279 i4:536 newVal:20->at:278 iters:1:20
 i1:21 i2:278 i3:280 i4:537 newVal:20->at:279 iters:1:21
 i1:22 i2:279 i3:281 i4:538 newVal:20->at:280 iters:1:22
 i1:23 i2:280 i3:282 i4:539 newVal:20->at:281 iters:1:23
 i1:24 i2:281 i3:283 i4:540 newVal:20->at:282 iters:1:24
 i1:25 i2:282 i3:284 i4:541 newVal:20->at:283 iters:1:25
 i1:26 i2:283 i3:285 i4:542 newVal:20->at:284 iters:1:26
 i1:27 i2:284 i3:286 i4:543 newVal:20->at:285 iters:1:27
 i1:28 i2:285 i3:287 i4:544 newVal:20->at:286 iters:1:28
 i1:29 i2:286 i3:288 i4:545 newVal:20->at:287 iters:1:29
 i1:30 i2:287 i3:289 i4:546 newVal:20->at:288 iters:1:30
 i1:31 i2:288 i3:290 i4:547 newVal:20->at:289 iters:1:31
 i1:32 i2:289 i3:291 i4:548 newVal:20->at:290 iters:1:32
 i1:33 i2:290 i3:292 i4:549 newVal:20->at:291 iters:1:33
 i1:34 i2:291 i3:293 i4:550 newVal:20->at:292 iters:1:34
 i1:35 i2:292 i3:294 i4:551 newVal:20->at:293 iters:1:35
 i1:36 i2:293 i3:295 i4:552 newVal:20->at:294 iters:1:36
 i1:37 i2:294 i3:296 i4:553 newVal:20->at:295 iters:1:37
 i1:38 i2:295 i3:297 i4:554 newVal:20->at:296 iters:1:38
 i1:39 i2:296 i3:298 i4:555 newVal:20->at:297 iters:1:39
 i1:40 i2:297 i3:299 i4:556 newVal:20->at:298 iters:1:40
 i1:41 i2:298 i3:300 i4:557 newVal:20->at:299 iters:1:41
 i1:42 i2:299 i3:301 i4:558 newVal:20->at:300 iters:1:42
 i1:43 i2:300 i3:302 i4:559 newVal:20->at:301 iters:1:43
 i1:44 i2:301 i3:303 i4:560 newVal:20->at:302 iters:1:44
 i1:45 i2:302 i3:304 i4:561 newVal:20->at:303 iters:1:45
 i1:46 i2:303 i3:305 i4:562 newVal:20->at:304 iters:1:46
 i1:47 i2:304 i3:306 i4:563 newVal:20->at:305 iters:1:47
 i1:48 i2:305 i3:307 i4:564 newVal:20->at:306 iters:1:48
 i1:49 i2:306 i3:308 i4:565 newVal:20->at:307 iters:1:49
 i1:50 i2:307 i3:309 i4:566 newVal:20->at:308 iters:1:50
 i1:51 i2:308 i3:310 i4:567 newVal:20->at:309 iters:1:51
 i1:52 i2:309 i3:311 i4:568 newVal:20->at:310 iters:1:52
 i1:53 i2:310 i3:312 i4:569 newVal:20->at:311 iters:1:53
 i1:54 i2:311 i3:313 i4:570 newVal:20->at:312 iters:1:54
 i1:55 i2:312 i3:314 i4:571 newVal:20->at:313 iters:1:55
 i1:56 i2:313 i3:315 i4:572 newVal:20->at:314 iters:1:56
 i1:57 i2:314 i3:316 i4:573 newVal:20->at:315 iters:1:57
 i1:58 i2:315 i3:317 i4:574 newVal:20->at:316 iters:1:58
 i1:59 i2:316 i3:318 i4:575 newVal:20->at:317 iters:1:59
 i1:60 i2:317 i3:319 i4:576 newVal:20->at:318 iters:1:60
 i1:61 i2:318 i3:320 i4:577 newVal:20->at:319 iters:1:61
 i1:62 i2:319 i3:321 i4:578 newVal:20->at:320 iters:1:62
 i1:63 i2:320 i3:322 i4:579 newVal:20->at:321 iters:1:63
 i1:64 i2:321 i3:323 i4:580 newVal:20->at:322 iters:1:64
 i1:65 i2:322 i3:324 i4:581 newVal:20->at:323 iters:1:65
 i1:66 i2:323 i3:325 i4:582 newVal:20->at:324 iters:1:66
 i1:67 i2:324 i3:326 i4:583 newVal:20->at:325 iters:1:67
 i1:68 i2:325 i3:327 i4:584 newVal:20->at:326 iters:1:68
 i1:69 i2:326 i3:328 i4:585 newVal:20->at:327 iters:1:69
 i1:70 i2:327 i3:329 i4:586 newVal:20->at:328 iters:1:70
 i1:71 i2:328 i3:330 i4:587 newVal:20->at:329 iters:1:71
 i1:72 i2:329 i3:331 i4:588 newVal:20->at:330 iters:1:72
 i1:73 i2:330 i3:332 i4:589 newVal:20->at:331 iters:1:73
 i1:74 i2:331 i3:333 i4:590 newVal:20->at:332 iters:1:74
 i1:75 i2:332 i3:334 i4:591 newVal:20->at:333 iters:1:75
 i1:76 i2:333 i3:335 i4:592 newVal:20->at:334 iters:1:76
 i1:77 i2:334 i3:336 i4:593 newVal:20->at:335 iters:1:77
 i1:78 i2:335 i3:337 i4:594 newVal:20->at:336 iters:1:78
 i1:79 i2:336 i3:338 i4:595 newVal:20->at:337 iters:1:79
 i1:80 i2:337 i3:339 i4:596 newVal:20->at:338 iters:1:80
 i1:81 i2:338 i3:340 i4:597 newVal:20->at:339 iters:1:81
 i1:82 i2:339 i3:341 i4:598 newVal:20->at:340 iters:1:82
 i1:83 i2:340 i3:342 i4:599 newVal:20->at:341 iters:1:83
 i1:84 i2:341 i3:343 i4:600 newVal:20->at:342 iters:1:84
 i1:85 i2:342 i3:344 i4:601 newVal:20->at:343 iters:1:85
 i1:86 i2:343 i3:345 i4:602 newVal:20->at:344 iters:1:86
 i1:87 i2:344 i3:346 i4:603 newVal:20->at:345 iters:1:87
 i1:88 i2:345 i3:347 i4:604 newVal:20->at:346 iters:1:88
 i1:89 i2:346 i3:348 i4:605 newVal:20->at:347 iters:1:89
 i1:90 i2:347 i3:349 i4:606 newVal:20->at:348 iters:1:90
 i1:91 i2:348 i3:350 i4:607 newVal:20->at:349 iters:1:91
 i1:92 i2:349 i3:351 i4:608 newVal:20->at:350 iters:1:92
 i1:93 i2:350 i3:352 i4:609 newVal:20->at:351 iters:1:93
 i1:94 i2:351 i3:353 i4:610 newVal:20->at:352 iters:1:94
 i1:95 i2:352 i3:354 i4:611 newVal:20->at:353 iters:1:95
 i1:96 i2:353 i3:355 i4:612 newVal:20->at:354 iters:1:96
 i1:97 i2:354 i3:356 i4:613 newVal:20->at:355 iters:1:97
 i1:98 i2:355 i3:357 i4:614 newVal:20->at:356 iters:1:98
 i1:99 i2:356 i3:358 i4:615 newVal:20->at:357 iters:1:99
 i1:100 i2:357 i3:359 i4:616 newVal:20->at:358 iters:1:100
 i1:101 i2:358 i3:360 i4:617 newVal:20->at:359 iters:1:101
 i1:102 i2:359 i3:361 i4:618 newVal:20->at:360 iters:1:102
 i1:103 i2:360 i3:362 i4:619 newVal:20->at:361 iters:1:103
 i1:104 i2:361 i3:363 i4:620 newVal:20->at:362 iters:1:104
 i1:105 i2:362 i3:364 i4:621 newVal:20->at:363 iters:1:105
 i1:106 i2:363 i3:365 i4:622 newVal:20->at:364 iters:1:106
